filename,commit_count,total_changed_lines,author_count
CHANGES.rst,88,238,15
.github/workflows/publish.yaml,46,343,4
pyproject.toml,45,409,3
.github/workflows/tests.yaml,40,289,2
.pre-commit-config.yaml,34,160,2
requirements/typing.txt,31,300,2
src/flask/app.py,29,2194,3
requirements/dev.txt,28,1294,2
requirements/tests.txt,24,170,2
src/flask/helpers.py,24,366,8
requirements/docs.txt,23,377,2
tox.ini,22,183,2
src/flask/__init__.py,19,172,3
src/flask/sessions.py,17,217,2
src/flask/cli.py,14,374,6
src/flask/sansio/app.py,14,1621,5
requirements/build.txt,13,80,1
tests/test_basic.py,13,292,2
src/flask/testing.py,13,206,3
requirements/tests-pallets-min.txt,11,89,2
docs/config.rst,10,164,4
.github/workflows/lock.yaml,9,41,2
.github/workflows/pre-commit.yaml,9,52,1
requirements/tests-pallets-min.in,9,25,2
README.md,8,125,1
src/flask/json/provider.py,8,27,2
src/flask/typing.py,8,105,3
tests/test_testing.py,8,147,1
uv.lock,8,4812,1
src/flask/sansio/scaffold.py,7,183,3
src/flask/templating.py,7,163,2
docs/conf.py,7,33,1
src/flask/ctx.py,7,554,2
src/flask/wrappers.py,6,132,3
examples/javascript/pyproject.toml,6,22,2
tests/test_cli.py,6,106,2
docs/index.rst,6,31,2
src/flask/blueprints.py,6,232,3
src/flask/views.py,5,24,2
CONTRIBUTING.rst,5,567,2
docs/web-security.rst,5,82,2
src/flask/sansio/blueprints.py,5,324,3
examples/celery/pyproject.toml,5,19,1
.readthedocs.yaml,5,29,1
src/flask/config.py,5,78,2
requirements/docs.in,5,19,1
docs/quickstart.rst,4,151,3
docs/extensiondev.rst,4,31,1
.gitignore,4,70,1
docs/_static/flask-vertical.svg,4,50,1
examples/tutorial/pyproject.toml,4,21,1
requirements/dev.in,4,16,1
requirements/typing.in,4,13,1
docs/installation.rst,4,11,1
requirements/tests-min.txt,4,31,1
.github/dependabot.yml,4,82,1
src/flask/debughelpers.py,4,49,2
tests/conftest.py,4,113,1
docs/_static/flask-icon.svg,4,25,1
src/flask/json/tag.py,4,43,1
docs/_static/flask-horizontal.svg,4,50,1
tests/test_helpers.py,4,65,2
src/flask/scaffold.py,4,186,1
tests/test_blueprints.py,4,135,2
tests/test_instance_config.py,3,100,1
requirements/tests-min.in,3,14,1
requirements/tests.in,3,7,1
docs/design.rst,3,49,2
tests/test_signals.py,3,19,1
docs/appcontext.rst,3,249,2
tests/typing/typing_app_decorators.py,3,24,1
.github/ISSUE_TEMPLATE/config.yml,3,20,1
docs/signals.rst,3,78,2
src/flask/logging.py,3,13,2
requirements-skip/README.md,3,6,1
src/flask/globals.py,3,127,1
docs/templating.rst,3,90,2
.devcontainer/on-create-command.sh,3,15,2
docs/api.rst,3,158,1
tests/typing/typing_route.py,3,12,1
docs/contributing.rst,3,20,2
tests/test_appctx.py,3,29,1
requirements-skip/tests-dev.txt,2,12,1
src/flask/signals.py,2,75,1
tests/test_views.py,2,8,1
tests/test_apps/subdomaintestmodule/__init__.py,2,2,1
tests/test_json.py,2,21,1
examples/javascript/js_example/views.py,2,4,1
examples/tutorial/flaskr/__init__.py,2,10,1
examples/tutorial/flaskr/blog.py,2,8,1
docs/license.rst,2,22,1
README.rst,2,82,1
examples/tutorial/flaskr/auth.py,2,4,1
.flake8,2,50,1
docs/patterns/javascript.rst,2,6,2
docs/patterns/streaming.rst,2,12,1
tests/test_reqctx.py,2,15,1
docs/patterns/appdispatch.rst,2,57,2
requirements-skip/tests-min.txt,2,42,1
docs/reqcontext.rst,2,266,1
docs/testing.rst,2,11,2
docs/tutorial/database.rst,2,16,1
docs/patterns/sqlalchemy.rst,2,8,2
src/flask/json/__init__.py,2,4,1
docs/_static/flask-horizontal.png,2,0,1
docs/tutorial/install.rst,2,28,2
docs/_static/shortcut-icon.png,2,0,1
docs/server.rst,2,6,2
docs/_static/flask-vertical.png,2,0,1
requirements/tests-pallets-min.in => requirements-skip/tests-min.in,2,12,1
tests/test_request.py,2,70,1
CODE_OF_CONDUCT.md,2,152,1
src/flask/{ => sansio}/app.py,1,0,1
src/flask/{ => sansio}/scaffold.py,1,0,1
docs/_static/no.png,1,0,1
docs/_static/flask-logo.png,1,0,1
src/flask/{ => sansio}/blueprints.py,1,0,1
docs/_static/flask-icon.png,1,0,1
artwork/logo-lineart.svg,1,165,1
artwork/logo-full.svg,1,290,1
docs/_static/yes.png,1,0,1
examples/javascript/README.rst,1,2,1
docs/deploying/asgi.rst,1,2,1
artwork/LICENSE.rst,1,19,1
examples/celery/requirements.txt,1,14,1
tests/test_config.py,1,16,1
examples/tutorial/MANIFEST.in,1,6,1
src/flask/sansio/README.md,1,6,1
docs/errorhandling.rst,1,2,1
MANIFEST.in,1,11,1
docs/patterns/packages.rst,1,4,1
.devcontainer/devcontainer.json,1,17,1
examples/javascript/MANIFEST.in,1,4,1
docs/debugging.rst,1,28,1
docs/patterns/favicon.rst,1,7,1
docs/{security.rst => web-security.rst},1,0,1
tests/test_session_interface.py,1,4,1
docs/patterns/appfactories.rst,1,4,1
requirements/tests-dev.txt,1,6,1
requirements/build.in,1,1,1
docs/_static/flask-name.svg,1,23,1
docs/_static/flask-logo.svg,1,17,1
docs/patterns/wtforms.rst,1,2,1
tests/test_templating.py,1,81,1
docs/tutorial/views.rst,1,8,1
tests/{typing => type_check}/typing_app_decorators.py,1,0,1
docs/tutorial/tests.rst,1,6,1
docs/tutorial/templates.rst,1,2,1
docs/tutorial/blog.rst,1,2,1
docs/shell.rst,1,51,1
docs/patterns/sqlite3.rst,1,6,1
docs/lifecycle.rst,1,29,1
tests/test_subclassing.py,1,2,1
docs/patterns/mongoengine.rst,1,2,1
tests/{typing => type_check}/typing_error_handler.py,1,0,1
LICENSE.rst => LICENSE.txt,1,0,1
pre-commit.yaml => .github/workflows/pre-commit.yaml,1,0,1
.github/pull_request_template.md,1,25,1
.github/SECURITY.md,1,19,1
.github/ISSUE_TEMPLATE/bug-report.md,1,2,1
.editorconfig,1,2,1
docs/logging.rst,1,2,1
docs/deploying/waitress.rst,1,2,1
pre-commit.yaml,1,15,1
docs/async-await.rst,1,6,1
tests/{typing => type_check}/typing_route.py,1,0,1
{requirements-skip => requirements}/tests-min.txt,1,0,1
{requirements-skip => requirements}/tests-min.in,1,0,1
{requirements-skip => requirements}/tests-dev.txt,1,0,1
examples/javascript/tests/test_js_example.py,1,2,1
examples/tutorial/flaskr/db.py,1,4,1
examples/tutorial/{LICENSE.rst => LICENSE.txt},1,0,1
examples/javascript/{LICENSE.rst => LICENSE.txt},1,0,1
docs/deploying/eventlet.rst,1,2,1
